game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided
2024-04-18,Washington Capitals,4,New York Islanders,1,"16,519",2:20,
2024-04-18,Calgary Flames,1,Ottawa Senators,4,"18,874",2:26,
2024-04-18,Buffalo Sabres,0,Pittsburgh Penguins,4,"18,429",2:16,
2024-04-18,Edmonton Oilers,4,Seattle Kraken,1,"17,151",2:31,
2024-04-18,Carolina Hurricanes,4,Tampa Bay Lightning,0,"19,092",2:28,
2024-04-18,Vancouver Canucks,2,Toronto Maple Leafs,5,"19,107",2:26,
2024-04-18,Dallas Stars,3,Winnipeg Jets,2,"12,420",2:28,
2024-04-18,San Jose Sharks,1,Anaheim Ducks,4,"16,471",2:29,
2024-04-18,Chicago Blackhawks,3,Florida Panthers,4,"19,359",2:26,
2024-04-18,Dallas Stars,8,Minnesota Wild,3,"18,509",2:33,
2024-04-18,Vancouver Canucks,5,Montreal Canadiens,2,"21,105",2:19,
2024-04-18,Columbus Blue Jackets,3,New York Rangers,4,"18,006",2:55,SO
2024-04-18,New York Islanders,1,Edmonton Oilers,4,"17,881",2:40,
2024-04-18,Colorado Avalanche,5,Seattle Kraken,1,"17,151",2:37,
2024-04-18,Boston Bruins,5,Buffalo Sabres,2,"14,840",2:21,
2024-04-18,Pittsburgh Penguins,5,Columbus Blue Jackets,3,"16,596",2:23,
2024-04-18,Arizona Coyotes,3,Dallas Stars,4,"18,532",2:31,OT
2024-04-18,Calgary Flames,2,Montreal Canadiens,1,"21,105",2:29,
2024-04-18,Anaheim Ducks,3,Nashville Predators,2,"17,159",2:30,
2024-04-18,Florida Panthers,5,San Jose Sharks,3,"10,108",2:35,
2024-04-18,Tampa Bay Lightning,0,St. Louis Blues,5,"17,621",2:25,
2024-04-18,New Jersey Devils,3,Winnipeg Jets,6,"11,717",2:29,
2024-04-18,Vegas Golden Knights,0,Washington Capitals,3,"16,598",2:34,
2024-04-18,Philadelphia Flyers,3,Carolina Hurricanes,1,"18,700",2:32,
2024-04-18,Anaheim Ducks,2,Colorado Avalanche,8,"18,029",2:32,
2024-04-18,Seattle Kraken,3,Edmonton Oilers,4,"18,347",2:40,OT
2024-04-18,New York Islanders,3,Vancouver Canucks,4,"18,972",2:42,OT
2024-04-18,Arizona Coyotes,3,Columbus Blue Jackets,2,"15,909",2:28,
2024-04-18,Vancouver Canucks,2,Calgary Flames,5,"17,501",2:33,
2024-04-18,Tampa Bay Lightning,4,Chicago Blackhawks,2,"18,691",2:34,
2024-04-18,Florida Panthers,1,Los Angeles Kings,2,"17,243",2:29,
2024-04-18,Vegas Golden Knights,6,Montreal Canadiens,5,"21,105",2:39,
2024-04-18,Detroit Red Wings,4,Ottawa Senators,5,"12,487",2:48,OT
2024-04-18,New Jersey Devils,5,Pittsburgh Penguins,2,"18,321",2:24,
2024-04-18,New York Islanders,3,Seattle Kraken,4,"17,151",2:46,SO
2024-04-18,St. Louis Blues,1,San Jose Sharks,5,"10,452",2:31,
2024-04-18,Florida Panthers,2,Anaheim Ducks,1,"14,932",2:42,
2024-04-18,Toronto Maple Leafs,3,Detroit Red Wings,2,"13,510",2:40,
2024-04-18,Buffalo Sabres,2,Winnipeg Jets,3,"11,340",2:21,
2024-04-18,Montreal Canadiens,2,Boston Bruins,5,"17,850",2:29,
2024-04-18,Pittsburgh Penguins,2,Carolina Hurricanes,4,"18,700",2:32,
2024-04-18,New York Islanders,5,Calgary Flames,4,"17,167",2:36,SO
2024-04-18,Colorado Avalanche,6,Dallas Stars,3,"18,532",2:28,
2024-04-18,St. Louis Blues,1,Los Angeles Kings,5,"18,145",2:18,
2024-04-18,New York Rangers,5,New Jersey Devils,3,"17,086",2:32,
2024-04-18,Chicago Blackhawks,2,Nashville Predators,4,"17,397",2:27,
2024-04-18,Minnesota Wild,1,Ottawa Senators,2,"13,213",2:38,SO
2024-04-18,Vegas Golden Knights,3,Philadelphia Flyers,4,"18,113",2:35,OT
2024-04-18,Edmonton Oilers,4,Tampa Bay Lightning,6,"19,092",2:33,
2024-04-18,Seattle Kraken,4,Vancouver Canucks,3,"18,857",2:28,
2024-04-18,Arizona Coyotes,2,Winnipeg Jets,5,"12,103",2:29,
2024-04-18,Columbus Blue Jackets,3,Washington Capitals,4,"18,573",2:37,
2024-04-18,St. Louis Blues,3,Anaheim Ducks,1,"15,243",2:24,
2024-04-18,Buffalo Sabres,3,Chicago Blackhawks,2,"19,027",2:21,
2024-04-18,Toronto Maple Leafs,4,Minnesota Wild,3,"13,356",2:38,OT
2024-04-18,Columbus Blue Jackets,2,Philadelphia Flyers,5,"17,416",2:36,
2024-04-18,Vegas Golden Knights,0,Pittsburgh Penguins,3,"18,120",2:30,
2024-04-18,Los Angeles Kings,4,Arizona Coyotes,1,"4,600",2:27,
2024-04-18,New York Rangers,3,Dallas Stars,6,"18,532",2:33,
2024-04-18,Edmonton Oilers,3,Florida Panthers,5,"19,628",2:43,
2024-04-18,Colorado Avalanche,3,Nashville Predators,4,"17,159",2:22,
2024-04-18,Calgary Flames,4,Seattle Kraken,3,"17,151",2:33,OT
2024-04-18,Boston Bruins,4,Tampa Bay Lightning,5,"19,092",2:42,OT
2024-04-18,San Jose Sharks,1,Vancouver Canucks,3,"18,718",2:26,
2024-04-18,Montreal Canadiens,4,Anaheim Ducks,3,"15,168",2:31,
2024-04-18,St. Louis Blues,6,Arizona Coyotes,5,"4,600",2:33,
2024-04-18,Edmonton Oilers,3,Carolina Hurricanes,6,"18,805",2:34,
2024-04-18,Chicago Blackhawks,3,Columbus Blue Jackets,7,"18,158",2:21,
2024-04-18,Vancouver Canucks,2,Colorado Avalanche,5,"18,133",2:32,
2024-04-18,Vegas Golden Knights,2,Dallas Stars,1,"18,532",2:31,OT
2024-04-18,New Jersey Devils,0,Detroit Red Wings,4,"19,515",2:17,
2024-04-18,Boston Bruins,3,Florida Panthers,1,"19,327",2:28,
2024-04-18,Calgary Flames,2,Nashville Predators,4,"17,252",2:38,
2024-04-18,Philadelphia Flyers,2,New York Islanders,3,"17,255",2:30,
2024-04-18,New York Rangers,1,Pittsburgh Penguins,0,"18,250",2:31,
2024-04-18,San Jose Sharks,1,Seattle Kraken,7,"17,151",2:25,
2024-04-18,Winnipeg Jets,3,Tampa Bay Lightning,2,"19,092",2:24,OT
2024-04-18,Buffalo Sabres,3,Washington Capitals,4,"18,573",2:29,OT
2024-04-18,Los Angeles Kings,5,Anaheim Ducks,2,"17,205",2:33,
2024-04-18,Detroit Red Wings,5,Boston Bruins,2,"17,850",2:35,
2024-04-18,Pittsburgh Penguins,2,Buffalo Sabres,3,"19,070",2:29,
2024-04-18,Tampa Bay Lightning,8,Carolina Hurricanes,2,"18,802",2:34,
2024-04-18,Toronto Maple Leafs,3,Chicago Blackhawks,4,"20,238",2:32,OT
2024-04-18,Calgary Flames,7,Dallas Stars,4,"18,532",2:20,
2024-04-18,Winnipeg Jets,3,Florida Panthers,0,"18,801",2:30,
2024-04-18,Colorado Avalanche,3,Minnesota Wild,2,"19,057",2:23,
2024-04-18,Columbus Blue Jackets,2,New Jersey Devils,1,"16,514",2:22,
2024-04-18,New York Islanders,5,Ottawa Senators,3,"17,693",2:30,
2024-04-18,New York Rangers,3,Philadelphia Flyers,1,"19,032",2:31,
2024-04-18,Vancouver Canucks,5,Seattle Kraken,1,"17,151",2:31,
2024-04-18,Montreal Canadiens,3,San Jose Sharks,2,"16,897",2:35,SO
2024-04-18,Nashville Predators,8,St. Louis Blues,3,"18,096",2:26,
2024-04-18,Edmonton Oilers,5,Washington Capitals,0,"18,573",2:31,
2024-04-18,Calgary Flames,1,Colorado Avalanche,3,"18,139",2:30,
2024-04-18,Montreal Canadiens,0,Los Angeles Kings,4,"18,145",2:24,
2024-04-18,Buffalo Sabres,2,New Jersey Devils,7,"16,514",2:24,
2024-04-18,Philadelphia Flyers,1,New York Islanders,0,"17,255",2:41,SO
2024-04-18,Boston Bruins,4,New York Rangers,7,"18,006",2:41,
2024-04-18,Toronto Maple Leafs,2,Pittsburgh Penguins,3,"18,229",2:27,
2024-04-18,Vancouver Canucks,3,San Jose Sharks,4,"15,538",2:36,
2024-04-18,Arizona Coyotes,2,Vegas Golden Knights,0,"18,591",2:26,
2024-04-18,Columbus Blue Jackets,2,Carolina Hurricanes,3,"18,700",2:22,
2024-04-18,St. Louis Blues,4,Chicago Blackhawks,2,"18,223",2:23,
2024-04-18,Minnesota Wild,1,Detroit Red Wings,4,"18,833",2:31,
2024-04-18,Anaheim Ducks,2,Edmonton Oilers,8,"17,781",2:28,
2024-04-18,Winnipeg Jets,2,Nashville Predators,3,"17,159",2:33,
2024-04-18,Boston Bruins,2,Columbus Blue Jackets,5,"14,357",2:30,
2024-04-18,Vegas Golden Knights,1,Calgary Flames,2,"17,031",2:34,OT
2024-04-18,Tampa Bay Lightning,1,Colorado Avalanche,4,"18,009",2:34,
2024-04-18,Buffalo Sabres,5,New York Rangers,1,"18,006",2:21,
2024-04-18,Florida Panthers,5,Ottawa Senators,0,"15,594",2:44,
2024-04-18,Washington Capitals,1,San Jose Sharks,2,"10,759",2:31,
2024-04-18,Tampa Bay Lightning,1,Arizona Coyotes,3,"4,600",2:20,
